live_detail_id,live_id,sort,color,performers,special_keys,jp_name,name,difficulty,level,duration,Tap,Long,Flick,Slide
1,1,1001,4,"Shimamura Uzuki, Mimura Kanako, Kohinata Miho, Shibuya Rin, Tada Riina, Kanzaki Ranko, Honda Mio, Jougasaki Mika, Jougasaki Rika",,お願い ! シンデレラ,Onegai! Cinderella,1,5,126.171429,40,6,0,0
2,1,1001,4,"Shimamura Uzuki, Mimura Kanako, Kohinata Miho, Shibuya Rin, Tada Riina, Kanzaki Ranko, Honda Mio, Jougasaki Mika, Jougasaki Rika",,お願い ! シンデレラ,Onegai! Cinderella,2,10,126.171429,155,50,0,0
3,1,1001,4,"Shimamura Uzuki, Mimura Kanako, Kohinata Miho, Shibuya Rin, Tada Riina, Kanzaki Ranko, Honda Mio, Jougasaki Mika, Jougasaki Rika",,お願い ! シンデレラ,Onegai! Cinderella,3,15,126.171429,279,51,11,0
4,1,1001,4,"Shimamura Uzuki, Mimura Kanako, Kohinata Miho, Shibuya Rin, Tada Riina, Kanzaki Ranko, Honda Mio, Jougasaki Mika, Jougasaki Rika",,お願い ! シンデレラ,Onegai! Cinderella,4,20,126.171429,375,86,16,0
5,19,5001,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Star!!,Star!!,1,6,126.741573,88,14,0,0
6,19,5001,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Star!!,Star!!,2,12,126.741573,158,22,0,0
7,19,5001,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Star!!,Star!!,3,16,126.741573,278,53,15,0
8,19,5001,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Star!!,Star!!,4,25,126.741573,390,136,43,0
9,9,3001,1,Shimamura Uzuki,solo,S(mile)ING!,S(mile)ING!,1,6,126.741573,91,4,0,0
10,9,3001,1,Shimamura Uzuki,solo,S(mile)ING!,S(mile)ING!,2,11,126.741573,144,18,0,0
11,9,3001,1,Shimamura Uzuki,solo,S(mile)ING!,S(mile)ING!,3,15,126.741573,221,40,8,0
12,9,3001,1,Shimamura Uzuki,solo,S(mile)ING!,S(mile)ING!,4,21,126.741573,288,93,57,0
13,10,3002,2,Shibuya Rin,solo,Never say never,Never say never,1,6,131.153846,100,12,0,0
14,10,3002,2,Shibuya Rin,solo,Never say never,Never say never,2,12,131.153846,124,92,0,0
15,10,3002,2,Shibuya Rin,solo,Never say never,Never say never,3,17,131.153846,283,68,20,0
16,10,3002,2,Shibuya Rin,solo,Never say never,Never say never,4,25,131.153846,448,98,65,0
17,11,3003,3,Honda Mio,solo,ミツボシ☆☆★,Mitsuboshi☆☆★,1,8,123.428571,110,12,0,0
18,11,3003,3,Honda Mio,solo,ミツボシ☆☆★,Mitsuboshi☆☆★,2,12,123.428571,167,22,0,0
19,11,3003,3,Honda Mio,solo,ミツボシ☆☆★,Mitsuboshi☆☆★,3,17,123.428571,340,38,13,0
20,11,3003,3,Honda Mio,solo,ミツボシ☆☆★,Mitsuboshi☆☆★,4,24,123.428571,462,51,66,0
21,12,3004,1,Ogata Chieri,solo,風色メロディ,Kazeiro Melody,1,6,129.333333,65,2,0,0
22,12,3004,1,Ogata Chieri,solo,風色メロディ,Kazeiro Melody,2,11,129.333333,118,20,0,0
